Bo_14_2b	Bo_15_2b	Bo_22_2b	Bo_23_2b	Bo_22_4b	Bo_23_4b	Bo_20_4b	Bo_21_4b	Bo_14_5b	Bo_15_5b	Bo_22_5b	Bo_23_5b	svz_EXTRA_14	svz_EXTRA_15	svz_18	svz_19
Gbx1	1.73383767501022	1.51561806390926	1.73341374319559	1.68005612488823	-0.547491781731027	-0.547775957737997	-0.615592323669338	-0.547702876371678	-0.616040874812821	-0.614401042051045	-0.683655352194643	-0.683655352194643	-0.629645985035486	-0.475269208242711	-0.474078736045957	-0.227616116915946
Synpr	1.51208249490938	1.16148613679021	2.08196077053323	1.61448124585966	-0.677784994169896	-0.676407962625465	-1.17052563878098	-0.498711205801643	-0.604536837238664	-0.499328956099241	-0.466396761912208	-0.672061852343635	-0.581608424349634	-0.47248351605384	-0.16813509578584	0.117970597068556
Ngfr	1.53192269558636	1.00581385207004	2.41932767646439	1.44765100348152	-0.432583059186871	-0.433298110210892	-0.46381598850586	-0.443480497909731	-0.713334705654239	-0.722395454129975	-0.733495891625455	-0.704930055725753	-0.594001669405473	-0.441526244645575	-0.487560210764907	-0.234293339837579
Syt10	0.978766157977255	2.04388451416153	2.23945558865712	0.910913557839874	-0.293959092330885	-0.400510570536468	-1.02031790256829	-0.0131025044204773	-0.551187495627846	-0.49406375935992	-0.704511203968508	-0.662996792610869	-0.522829221541723	-0.777839808275323	-0.591351261676349	-0.140350205719125
Amigo2	1.78409664825095	1.00662951493224	1.67113236638028	1.94051805708591	-0.471315637729781	-0.389581359305407	-0.00900525604220134	-0.592710974636958	-0.410355955699401	-0.743131024734462	-0.862817774916789	-0.173926106616217	-0.966603286988965	-0.649989262818984	-0.680877232613408	-0.452062714546796
Ntrk1	1.73194194467729	1.49418847178464	1.41008360006078	1.87122778481943	-0.631296138912215	-0.698963327151235	-0.736101213160786	-0.594271277382359	-0.625353331085114	-0.650396617113587	-0.735594604078738	-0.645715217844756	-0.688030333040224	-0.436006302125788	-0.203274382055898	0.137560942608564
Celf6	1.71509245275878	0.566768637239495	2.06362017667059	1.88467121464141	-0.543785103939368	-0.467782940758425	-0.254413449030901	-0.626485477435352	-0.844309552737784	-0.746198451070937	-0.415541804672058	-0.846030541641709	-0.652304727356821	-0.514340976930584	-0.326744354920813	0.00778489918447244
Bcl11b	0.95899940616943	2.6428765072674	1.37986764861789	0.96392647824311	-0.830098792412845	-0.920895931302238	-0.741067959382368	-0.824657244304463	-0.539497470901761	-0.401824221591927	-0.237190263295755	-0.593588992813216	-0.342133095797422	-0.699810216358027	0.0186090756657192	0.166485072196477
Htr3a	1.57535879648239	1.50628501032329	1.81928501168147	1.65309970361774	-0.719301782299694	-0.558576027891979	-0.522631520516461	-0.787310780422315	-0.729902020743163	-0.692704660838415	-0.481774767581303	-0.706871610689485	-0.517184028477487	-0.553894420397687	-0.392404854305492	0.108527952058611
Tacr1	1.6954937270074	1.38585790927414	1.38032323185845	1.90246278477187	-0.713088339826208	-0.664205094106342	-0.486499156188287	-0.764473901494454	-0.567571251907631	-0.675729835361331	-0.760827021929836	-0.467538680848162	-0.953723656468407	-0.352134788651957	-0.36558173474368	0.407235808614434
Qpct	1.64358340972832	1.26292820587756	1.59274542248285	1.8541999000858	-0.690557013148623	-0.6703910561195	-0.559106471850044	-0.735687768402227	-0.761689213350736	-0.832506048485098	-0.929525937324516	-0.718165881693026	-0.305700936831183	-0.113698725349359	-0.325264050393909	0.288836164773694
Oxt	0.44361552071478	-0.067205371977076	3.62338505714648	0.250928570542785	-0.237874676462255	-0.238330013064353	-0.412427140544302	-0.151077988375019	-0.412714626818345	-0.411663622005211	-0.412230219696961	-0.41385926678223	-0.456050229583654	-0.355880789112723	-0.422469666152579	-0.326145537829341
Adra2c	1.17990752600178	2.38818078881714	1.27285092749321	1.27984618744339	-0.626258501083876	-0.630117498917756	-0.602915814644653	-0.64103592722016	-0.988450177535823	-0.824974644135678	-0.480654644511943	-1.03349033438098	-0.18039280051953	-0.152130248658975	-0.166399989627621	0.206035151481486
AABR07005752.1	1.40909077574872	1.71707473430483	1.83362197628088	1.41363828934968	-0.426580413820481	-0.524077897338715	-0.971497548702211	-0.22788556099757	-0.703541798921848	-0.533102073345734	-0.761449903322911	-0.886667025229112	-0.660009285871234	0.1196291001688	-0.811149656878017	0.0129062885749242
Otof	1.33496007884361	2.19228399907734	1.0829088071459	1.41482207318668	-0.822732037448543	-0.696775356522633	-0.898799990027489	-0.814570312829509	-0.603681033223678	-0.635530292013875	-0.720904404271415	-0.590645360997793	-0.178736804803427	0.377555206236983	-0.80971781436178	0.369563242009624
