Gene	DG_logFC	CA_FC	Bo_20_4b	Bo_21_4b	Bo_22_4b	Bo_23_4b	Bo_24_4b	Bo_25_4b	Bo_14_4b	Bo_15_4b	Bo_14_5b	Bo_15_5b	Bo_22_5b	Bo_23_5b	Bo_20_5b	Bo_21_5b	Bo_24_5b	Bo_25_5b
Cxcr1	Cxcr1	3.71404489	-1.103382946	-0.255602821213352	-0.48833931642957	-0.48811392652062	-0.51743356843194	2.87107992239219	1.2558853241689	0.360920908055627	3.35307719495129	0.723735779358705	0.6679193260196	1.08930839089137	0.91280323886116	0.0497329788145861	0.29208063941597	-0.0224997560047233	-0.0871951574458065
Bhlhe23	Bhlhe23	3.069022327	-1.103058743	-0.665620513575365	-0.982455422132507	-0.982087280370473	-0.903593216636231	2.75560165569657	1.99506760495542	2.60218923548536	-0.669063241806692	1.06018287643959	0.390809820257799	-0.265668663086154	1.45917823629651	-0.734352035014481	-0.353416797850365	0.194250115199708	-0.401603496443881
Il16	Il16	2.933964577	-0.718247574	-0.142627999563878	-0.623790029524473	-0.581754638202254	-0.556709873974906	3.90281094753536	1.62647087657939	2.06798515866825	0.388222254690713	0.836800001664407	0.740656919457344	0.401567967206997	0.804703410204621	-0.0190668318156061	0.0675880488546656	0.371728534851202	-0.0345563830249965
Mei1	Mei1	2.672577203	-0.717292959	-0.160262819214615	-0.523918653906378	-0.502703090959357	-0.477451215666019	2.97644273449081	0.835526647915152	2.10997527578158	1.50155659619051	1.28414775077021	1.01820030184963	0.556899712273454	1.36424800023939	0.0662019538214929	0.378703673895934	0.887535803235039	0.00510742049391605
Cpne4	Cpne4	2.54963837	-0.765669675	-0.300472897894424	-0.635989502231916	-0.605944038065837	-0.592647410903781	3.32170893760462	2.65389327963281	2.14367641356568	0.301367324799524	0.869137544291805	0.782258571031503	0.157444455961415	0.710770107373604	-0.204277270898688	-0.252645629174207	0.249223237598939	-0.079134539581157
Frem3	Frem3	2.451864757	-1.165081754	-0.868957026658294	-0.844371316875578	-0.868863837162043	-0.844566310888769	0.692915113551325	0.751684325924846	2.09445952366747	-0.65946673217601	-0.000253366132195865	-0.0347018802240547	-0.615811233128458	-0.201716297235429	-0.84875007678601	-0.920487155421147	-0.575314723503043	-0.712825823794222
Lrrc10b	Lrrc10b	2.347743316	-0.848993664	-0.928480169565601	-1.11068141083187	-1.10669059049187	-1.16182617010273	1.68262646812847	1.50183970888674	-0.0621663026959263	1.48847031995607	-0.0883338032036196	-0.0315208151117226	-0.650179438343528	-0.326173979966935	-0.952186303688973	-1.04605059977416	-0.460996480780963	-0.991701428613454
Prss35	Prss35	1.907012924	-0.947360331	-0.291480483139243	-0.525633601216832	-0.524440365754382	-0.456221875604923	2.33694482909225	1.28703740963938	3.60913757824782	0.351111728667197	1.30019528304698	0.888608290662386	0.111227228197814	1.34442914127911	-0.436311472250751	-0.25006372279738	0.298717429626716	-0.220507052457151
Kctd4	Kctd4	1.847887648	-0.679406755	-0.0831609187369196	-0.631473374594814	-0.587348557759418	-0.551762704292729	2.75026751915859	1.03393012326513	2.02963727643494	1.46398956014926	1.13551807960494	1.20176707154708	1.45700605963277	1.17781954777724	0.307872688204097	0.492249063840109	0.291897994395035	0.00703759101122663
Svep1	Svep1	1.835133327	-0.709276376	-0.173145638477022	-0.621836098446953	-0.59322670444319	-0.608814150329438	3.04166766961839	1.70778658943931	1.7659843007859	2.31783093843361	0.848089443927024	1.0448648899179	0.432511545676535	0.541425993994895	-0.190899065723588	-0.321793658586792	0.40425463967103	-0.474423506994964
