Sdk2	St18	Region	Drug
59.5853927	19.24943651	NAc	Sal
53.90612815	19.03026138	NAc	Sal
59.82783118	23.18844215	NAc	Sal
60.36319924	18.39947784	NAc	Sal
56.73751114	23.46650602	NAc	METH
52.55511811	21.68415897	NAc	METH
49.7508826	25.83629525	NAc	METH
55.8914366	20.45594366	NAc	METH
132.8017175	30.81278694	DG	Sal
77.00336329	21.02623482	DG	Sal
87.16424854	21.96539063	DG	Sal
95.61098271	23.38085167	DG	Sal
70.24827337	70.03815889	DG	METH
41.84156109	50.12491582	DG	METH
68.80814543	71.19293334	DG	METH
71.77296189	41.29023676	DG	METH
70.01454862	32.2025372	CA	Sal
80.50819896	35.04057294	CA	Sal
92.43547951	38.72486376	CA	Sal
64.86147255	31.21711205	CA	Sal
110.4922941	31.84400739	CA	METH
92.11743225	33.43418851	CA	METH
87.25739459	33.92122057	CA	METH
87.77863329	21.61712611	CA	METH
79.3813411	31.69721843	SVZ	Sal
64.24402999	25.18536724	SVZ	Sal
56.07852281	38.79882487	SVZ	Sal
45.87852074	31.60635648	SVZ	Sal
85.19569308	53.37759779	SVZ	METH
60.83920814	45.14216569	SVZ	METH
71.21868483	47.42565574	SVZ	METH
47.676096	54.25210924	SVZ	METH
