logFC	logCPM	PValue	FDR	Bo_14_5b	Bo_15_5b	Bo_20_5b	Bo_21_5b	Bo_22_5b	Bo_23_5b	Bo_24_5b	Bo_25_5b
Cep295nl	-1.58159268869921	1.15145062685648	6.64374723072192e-10	5.86535723259347e-08	1.17811574883081	1.27302214472938	2.99054653916627	2.37988624582835	0.770210315233109	0.945931183833347	4.40168788304246	2.7721276708802
Timp2	-0.663309939350643	7.74680659825687	2.22320079855644e-07	9.44791295883426e-06	144.308963596281	151.492589674517	301.958918266743	294.037913475328	219.206254225092	149.663710651255	211.089436182461	245.650503996105
Baiap3	-1.64652156267301	4.39217256561086	3.38152918198732e-20	2.10331115119611e-17	10.3232675690127	11.1843587701889	30.4655298478165	31.6219022231341	9.65646212925934	9.33146825635295	44.8021660041177	19.901580877189
Adra1b	-0.62737303169279	1.92751642381881	0.00037699305428062	0.00463501613187422	3.2570948882186	2.90353736627581	3.84822658083461	3.91861197276991	2.17030934290911	3.18396120872282	5.13839809554653	4.90616563246182
Sparc	-0.716341952376374	8.68310033659023	2.6005985205312e-21	1.87297842920784e-18	303.24490162512	322.649587027603	539.116388961098	514.974344893273	330.186301829878	287.711242412614	553.021269753644	436.629078944579
Fgf11	-0.709390814616285	4.93869078551581	1.40067908482146e-08	8.32377473464644e-07	20.7819746710214	20.4046699125727	41.2695160822147	42.1833101922036	29.0325021262824	22.4618460931518	29.2003543042731	38.9227111549124
Fgf11.1	-0.709390814616285	4.93869078551581	1.40067908482146e-08	8.32377473464644e-07	20.7819746710214	20.4046699125727	41.2695160822147	42.1833101922036	29.0325021262824	22.4618460931518	29.2003543042731	38.9227111549124
Gltpd2	-0.811415465385338	1.97875839772848	1.68373484251068e-06	5.22454140247532e-05	2.84070741390669	2.62135850042218	4.6986615536653	4.47802985640289	2.65906263204043	2.9114366234803	4.21583999578253	5.97829466063335
LOC691995	-1.44552453004818	6.0890053845982	1.00980602461554e-37	3.45454641020976e-34	33.0446558128151	34.8471340450349	109.590253959702	111.722601949789	44.9153921214022	33.2118158128984	97.0394397904385	79.4248845863828
Myo1c	-0.602372875688496	4.10346067685505	1.52928570726337e-08	8.90499813540081e-07	14.4118049031863	13.3856729178945	18.5136748081426	20.8478213779577	11.6870273771379	14.6924987866294	23.9035372997254	19.0449287699931
Crhr1	-0.724548458444435	1.97666020398121	1.00366408689643e-05	0.000234370978926462	3.11824179520694	2.83308167703696	4.20345676966964	4.68741076569013	2.37984574537885	3.11566397563709	5.499907016198	4.56309879198106
Dbp	-0.869408738503453	6.79256635380523	4.1428074120857e-25	4.04929833049862e-22	81.8231319184454	81.0142060482473	136.513681225608	140.27009673261	71.4416189554874	79.10588376065	169.286557133363	126.571557680982
Dbp.1	-0.869408738503453	6.79256635380523	4.1428074120857e-25	4.04929833049862e-22	81.8231319184454	81.0142060482473	136.513681225608	140.27009673261	71.4416189554874	79.10588376065	169.286557133363	126.571557680982
Dbp.2	-0.869408738503453	6.79256635380523	4.1428074120857e-25	4.04929833049862e-22	81.8231319184454	81.0142060482473	136.513681225608	140.27009673261	71.4416189554874	79.10588376065	169.286557133363	126.571557680982
Nr2f2	-0.857649127529906	5.6032744008691	2.15182308085494e-08	1.20678471468931e-06	29.1633263825704	29.2608870935916	70.159527878738	75.2017385120092	47.2910984710325	32.2004312367689	47.0500165822028	57.5564241663594
Fstl1	-0.638779917215262	5.27281410753064	9.71685635054856e-09	6.09933313306911e-07	27.8491787990885	32.2879848798536	55.9175807166113	42.3978914849453	35.6107795306679	24.8101346921475	43.023606478468	46.3911791999171
Fstl1.1	-0.638779917215262	5.27281410753064	9.71685635054856e-09	6.09933313306911e-07	27.8491787990885	32.2879848798536	55.9175807166113	42.3978914849453	35.6107795306679	24.8101346921475	43.023606478468	46.3911791999171
Syt9	-1.60639433028864	2.40712645450676	1.32914720677078e-12	2.39316452334886e-10	2.007908061831	2.12754607436404	9.38333388942926	9.37243409073123	3.91566208413312	2.16056184302101	5.5397436546625	6.86795154636024
Vgf	-0.640299457003525	5.56840214564389	9.10307924433648e-15	2.76814525287779e-12	34.9163344660323	35.0601795200342	61.3420036015013	60.8637504359961	42.118746845039	35.8595479483636	51.3702188674037	57.0468471060793
Hspb1	-0.854895429659261	2.17028014477241	1.65611372840181e-08	9.56213513056978e-07	3.32599561425858	3.11608736972285	5.19889063705186	5.2475738327198	2.65965461257465	3.31813066104446	6.15666276440728	5.89499157057666
