logFC	logCPM	PValue	FDR	Bo_20_4b	Bo_21_4b	Bo_22_4b	Bo_23_4b	Bo_24_4b	Bo_25_4b	Bo_14_4b	Bo_15_4b
Jpt1	-0.801111409905954	5.70050117111177	1.36906175669071e-12	6.67609080100162e-11	39.2525363652024	37.2852020591787	37.6796994384917	37.0868669120457	70.1860734461163	74.9162752752067	65.4564188976195	53.1194553294339
Ppl	-1.42541458524484	3.23925170750776	0.000566177083410584	0.00428938991912818	2.84530374221099	7.55977132270841	5.9799783708034	3.81023034780748	8.73368209943663	18.912817964562	3.88352724454744	22.7715957585385
Nptx1	-1.56738347868908	9.20952213134736	9.6216286572451e-19	1.24567728983586e-16	391.830736439016	246.025371708908	266.398750649107	290.389256183883	1031.5433220161	601.38086329186	1117.33067658745	790.342421845445
Faap100	-0.758622115430878	4.23402622595469	2.25257783655927e-07	4.21091650855985e-06	12.6430027585972	15.2483855921349	14.5996674488134	13.0315677047013	23.020573567453	29.0207713879818	18.2523570617327	23.671356911015
Adcy9	-0.847432067342183	7.31252561332558	7.54410069554697e-22	1.62622520618384e-19	113.170907422072	116.431104518579	114.5688650626	109.736031634225	207.885900501087	204.132093267982	194.115039099788	210.605381935236
Adcy9.1	-0.847432067342183	7.31252561332558	7.54410069554697e-22	1.62622520618384e-19	113.170907422072	116.431104518579	114.5688650626	109.736031634225	207.885900501087	204.132093267982	194.115039099788	210.605381935236
Cldn9	-0.846033130589855	1.80271860983546	4.10763024224474e-05	0.00044100285464598	2.84931343757767	2.1476726162609	2.29393993193185	2.28727957734354	4.78621215161928	3.63193904458858	4.5089888078315	4.31651622172101
Cacna1h	-0.872345095348594	7.39500840383209	4.27753496675893e-16	3.8691217354822e-14	139.364746894464	109.498595164876	114.429218890176	112.023182365632	247.166070585727	213.880484132929	200.456885122542	208.655274168043
Ccng1	-0.591828759317642	7.53697270055698	2.10670031674964e-06	3.19034440942679e-05	152.84032424547	148.241107929154	149.815479262099	141.277284934321	237.381988745726	282.030445899067	188.480304160389	184.63461190718
Lsm11	-1.41559321418263	4.09268293160947	1.41344340791784e-08	3.36785237575727e-07	13.6216369940876	6.85765868341332	7.99359687530494	8.45612469899275	33.3633917953156	27.4600631258199	24.5902071474695	13.1549668899028
Adam19	-0.787614686543025	5.24352424768441	4.59570814157197e-11	1.70895928628374e-09	31.7509168308525	25.6410879096883	26.7647389855327	26.6189252452538	53.9934340910434	50.7993265019633	46.2920566373434	40.1701873437667
Cdc42se2	-0.589765906699933	6.72662557979185	2.0655182889955e-11	8.1416829471377e-10	80.8655467186604	87.8781697497544	85.8572419385977	83.1860629887998	125.450025653349	129.28058402733	125.346549220982	128.31252930695
Anxa6	-0.793193382578701	6.84770794268186	1.56751618750571e-13	9.04830682963547e-12	94.4151114565896	78.1040570616777	80.9206187768782	83.3247971009697	158.95785235652	135.687863922563	161.348691546469	127.615036734926
Anxa6.1	-0.793193382578701	6.84770794268186	1.56751618750571e-13	9.04830682963547e-12	94.4151114565896	78.1040570616777	80.9206187768782	83.3247971009697	158.95785235652	135.687863922563	161.348691546469	127.615036734926
Rasd1	-1.22176947323015	4.7325643483935	6.05432812337407e-10	1.88120519797452e-08	17.9949710318696	15.6624218721241	16.0591805602914	13.7930145040914	42.1664290213854	51.4972895531884	22.3418139656221	32.1639851306486
