logFC	logCPM	PValue	FDR	Bo_14_2b	Bo_15_2b	Bo_22_2b	Bo_23_2b	Bo_24_2b	Bo_25_2b	Bo_20_2b	Bo_21_2b
Btbd17	-0.668006663439227	4.02384872400996	1.06996103737569e-11	1.49308199306517e-09	12.4363107786511	12.63849779118	12.219110521071	12.4079609927637	19.6351389152	21.9143605873092	17.1415417429533	20.4238755843988
Btbd17.1	-0.668006663439227	4.02384872400996	1.06996103737569e-11	1.49308199306517e-09	12.4363107786511	12.63849779118	12.219110521071	12.4079609927637	19.6351389152	21.9143605873092	17.1415417429533	20.4238755843988
Cep295nl	-1.04350684840429	1.50926702517062	9.76373103986328e-08	4.68353973318441e-06	1.84500291201293	1.54833981000727	1.7339326200727	1.8642477532398	3.94136625182071	3.72301265544304	2.89637801228738	3.92379610849437
Lsm11	-0.74922506480765	2.63740209163879	5.01891188358188e-07	1.95865162914361e-05	4.33339757264106	5.74883682873446	3.72612893317739	4.21946915900349	6.60281015575754	8.59413943364217	7.41517767357256	7.76907876672179
Rasgef1c	-0.789409388949058	3.09178265433799	5.61252627714817e-09	3.99675518138154e-07	5.938024928511	7.61086510771389	5.29420065092041	5.59955516343648	9.3392725327077	10.5127776466612	12.254316918699	10.1735232519295
Shisa6	-1.07847452724234	2.75992239694425	7.2613031157195e-13	1.4752191550539e-10	3.77285339811756	4.73386154130948	4.94201665084058	3.49311483386982	8.29119059058562	10.4098189382872	9.43495327336486	7.69271526660996
Tnfsf13	-0.799324174012844	3.02825098137618	4.81717532413533e-11	5.8376558862219e-09	6.17679018977115	5.18892760635087	5.69762457884535	6.24137643564809	10.9408890691643	9.52626507349329	9.24951484702317	10.891515523873
Tnfsf12	-0.610117353190287	2.91117305718437	7.99594678893922e-06	0.000217700814130708	5.77707576724478	6.12731510144603	5.53474050039975	5.83893127726766	8.69165332034464	10.4904539271121	7.07927210889707	9.37025521491556
Ybx2	-0.650094838565467	1.74065271896435	0.000302880731029645	0.00470145763952196	2.32746681367371	2.16761352765362	3.12565190289607	2.2725767368671	4.10291224122857	4.13453669321573	3.77728758775651	3.52554532558015
Gltpd2	-0.654659600384571	2.6608545767563	1.76336498772946e-07	7.8837822995089e-06	4.893899988153	4.57220210485845	4.86908833178102	4.78476909645305	7.80449182626127	7.45057581653193	7.26952280835667	7.60916089185867
