logFC	logCPM	PValue	FDR	Bo_20_4b	Bo_21_4b	Bo_22_4b	Bo_23_4b	Bo_24_4b	Bo_25_4b	Bo_14_4b	Bo_15_4b
Zfp189	-1.41706414805667	5.31966582975854	1.06563014279334e-41	1.47014334499769e-37	23.2742284347898	21.2759309012244	21.3423961632301	20.8652398817719	62.8643237305292	56.77934596923	59.2554987965964	52.84191256888
AY172581.9	1.39961914129127	14.4016064778652	4.6150058258718e-41	3.18343101868637e-37	30158.6420803994	30721.9515549315	31120.92420637	33552.1274172762	10793.0461697333	10413.3689634534	13707.5491490965	12674.5286588477
Sema3f	2.21414813731123	3.17800776643685	7.59478615549007e-41	3.49258899337137e-37	14.1024972419232	14.2067858182762	14.5295447032174	15.7372101721318	2.7464247418653	2.5646025628628	3.38150030339157	3.89973809562283
Plekhg5	-1.78169153182994	6.93722943266754	1.31215244177888e-40	4.52561377169537e-37	69.8933633367545	48.6490592009424	51.4438509329258	50.6728145985926	228.720472135863	164.791160021175	183.686797280801	181.572485408629
Slc30a3	-1.85003287133952	6.32480888227629	4.57134261627857e-40	1.26132485468358e-36	38.6282860158645	33.4730709112387	33.4385846640198	33.4818205444956	131.573607547104	88.3102410294605	138.449607519556	142.934338228961
Slc16a14	-1.60035438837858	5.43981101095492	6.00427849268436e-39	1.38058376808456e-35	22.5097192591709	22.0390684569613	21.7598448931633	19.5472825352619	70.7488925486515	72.2137092182662	51.5091209829932	65.9316744759464
Itih3	1.19313670926686	7.48357980239288	8.49627575983042e-38	1.67449457689458e-34	255.659811005367	241.454266983927	248.672590670636	249.489889555535	107.146506895971	114.052967504072	97.5169773495002	116.547087701101
Ptpn3	-1.44912107835436	6.35663176051565	1.87004087806477e-36	3.22488549422269e-33	44.6711454623581	45.2560333335626	44.6319490684816	40.8986934001028	128.546082000682	140.800101901082	101.745358307178	108.051650489431
Lrrc10b	-2.34774331646623	5.19159315117592	4.06817816841636e-36	6.23606511238579e-33	14.8698425639342	11.3650596498295	11.6790870404993	9.91058143937389	74.2665564197073	66.1668620662995	37.8427917045124	65.305639385767
Rgs4	1.99765164504532	7.12630165620802	2.57644762336989e-35	3.5544671412011e-32	249.825508542591	203.61312936317	215.928300172024	223.494109639504	52.5885138184421	42.7709260436767	47.562377062356	80.6260092710807
Hpca	-1.70549508864695	9.80555531045727	2.95751404827128e-35	3.70926034635914e-32	404.191407427933	454.912796240592	437.697740299173	382.932918128829	1434.08292018471	1766.59285476488	1046.38842265555	1231.32518394569
Svep1	-1.83513332684091	4.65437656963778	3.48243444791403e-35	4.0036388036185e-32	13.8974198705142	9.63145334274514	10.1491822319135	10.1892911691525	46.8821339342311	32.3803515444016	40.6541102933852	36.6899652292053
Kcng2	-2.03268357573674	4.84826435272226	6.37930331815389e-35	6.76991296748085e-32	14.7315836388977	9.56172569180215	10.2881070332756	10.4665748020887	57.3002614296236	40.4897395751943	49.5312587669061	37.1065480313048
Sipa1l3	-1.40566756609355	8.0270502133169	9.70689233761576e-35	9.56544904926764e-32	171.878444693725	130.01232074864	135.980234077738	133.651496304059	441.324013775484	354.690148214632	364.906976592538	353.32853799161
Nrip3	-1.90680674720955	8.34446301709046	2.83153323912445e-34	2.60425550446406e-31	170.76758790839	121.348876860515	129.16718861544	125.956469918661	634.566017974086	569.771700309679	481.516814185268	366.276116552155
AABR07035946.1	-1.33895461780795	6.43546360203503	8.89427961279396e-33	7.66909259613159e-30	54.6071116596113	46.0859457220977	47.2035280469661	47.9703965440626	136.359812562278	114.627370977326	138.308461860113	106.241081100144
Bhlhe22	-2.68341317483584	6.25567136403465	1.67944448879149e-32	1.28720089818708e-29	31.5476155009769	15.2426129978525	17.3087417160362	18.0910493299573	181.409779532537	95.8514644536657	144.931954880307	105.962095570387
Sema5a	-1.17722978756744	8.3108425065166	1.61604955837874e-32	1.28720089818708e-29	212.031908869742	186.911860182776	189.232728691447	190.427054505458	469.203533262132	381.730449279214	478.131898468441	431.722829750976
Ptk2b	-1.16883165319169	9.32788968700595	3.53025913426448e-32	2.56333973770067e-29	427.6054973039	387.131317624071	392.231047694918	375.446882133767	977.689828740006	964.162414933921	822.115031250622	793.823493989183
