DAR.in.Rat	Gene	DAR_logFC	DAR_FDR	type	Region	Group	Exp_logFC	Exp_FDR
"chr1,145956795,145957672"	1700026D08Rik	-0.659701618	8.09E-05	CA_Meth	CA	Meth	0	1
"chr1,145956795,145957672"	Mesdc1	-0.659701618	8.09E-05	CA_Meth	CA	Meth	0	1
"chr10,68968374,68969047"	Aa06	-0.700788559	2.42E-05	CA_Meth	CA	Meth	0	1
"chr10,68968374,68969047"	LOC101927239	-0.700788559	2.42E-05	CA_Meth	CA	Meth	0	1
"chr11,60965447,60966127"	C3orf17	-0.77874765	1.49E-05	CA_Meth	CA	Meth	0	1
"chr11,60965447,60966127"	LOC101929717	-0.77874765	1.49E-05	CA_Meth	CA	Meth	0	1
"chr15,51518642,51519862"	Pebp4	-0.749431862	0.000405769	CA_Meth	CA	Meth	0	1
"chr15,51518642,51519862"	Rhobtb2	-0.749431862	0.000405769	CA_Meth	CA	Meth	-0.12611808	0.153234341
"chr16,71368372,71369148"	5430421F17Rik	-0.647198402	3.03E-08	CA_Meth	CA	Meth	0	1
"chr16,71368372,71369148"	Fgfr1	-0.647198402	3.03E-08	CA_Meth	CA	Meth	-0.094709389	0.47861338
"chr16,86812496,86813505"	Efnb2	-0.65027043	3.72E-06	CA_Meth	CA	Meth	-0.731379162	3.17E-07
"chr16,86812496,86813505"	Slc10a2	-0.65027043	3.72E-06	CA_Meth	CA	Meth	0	1
"chr17,18521257,18521869"	Cap2	-0.635038419	0.000274089	CA_Meth	CA	Meth	0.433927077	4.88E-07
"chr17,18733612,18734734"	Rbm24	-0.750287615	1.09E-06	CA_Meth	CA	Meth	-0.134861595	0.497921077
"chr17,18733612,18734734"	Stmnd1	-0.750287615	1.09E-06	CA_Meth	CA	Meth	0	1
"chr18,31965052,31965638"	Arhgap26	-0.756050704	2.57E-05	CA_Meth	CA	Meth	-0.314482933	0.005785113
"chr18,5132056,5132622"	Znf521	-1.099331523	6.97E-06	CA_Meth	CA	Meth	0	1
"chr18,78761338,78762406"	Galr1	-0.800888615	8.88E-05	CA_Meth	CA	Meth	-1.284954738	0.026191211
"chr18,78761338,78762406"	Linc01029	-0.800888615	8.88E-05	CA_Meth	CA	Meth	0	1
"chr18,8110985,8112505"	Cdh2	-0.708478359	1.51E-08	CA_Meth	CA	Meth	-0.119862208	0.230238636
"chr18,8110985,8112505"	Chst9	-0.708478359	1.51E-08	CA_Meth	CA	Meth	0.392684981	0.004635016
"chr19,9780294,9780453"	Ndrg4	-0.69269873	0.000550141	CA_Meth	CA	Meth	0.219167803	0.000343864
"chr2,3843818,3844467"	Mctp1	-0.632093181	7.45E-05	CA_Meth	CA	Meth	0.053850569	0.718821041
"chr20,44728245,44729227"	As1	-0.654355447	4.28E-05	CA_Meth	CA	Meth	0	1
"chr20,44728245,44729227"	Fyn	-0.654355447	4.28E-05	CA_Meth	CA	Meth	0.063697931	0.512029136
"chr20,44728245,44729227"	Traf3ip2	-0.654355447	4.28E-05	CA_Meth	CA	Meth	-0.320399042	0.423060546
"chr3,163121294,163121754"	5031425F14Rik	-0.702237541	0.00031926	CA_Meth	CA	Meth	0	1
"chr3,163121294,163121754"	Gm11468	-0.702237541	0.00031926	CA_Meth	CA	Meth	0	1
"chr5,127588999,127589609"	Slc1a7	-0.911207068	0.000330505	CA_Meth	CA	Meth	0	1
"chr6,42139812,42140425"	E2f6	-0.799903578	6.05E-08	CA_Meth	CA	Meth	-0.143375078	0.195138962
