logFC	logCPM	PValue	FDR	Bo_14_svz	Bo_22_svz	Bo_23_svz	Bo_24_svz	Bo_25_svz_2000g	V1	V2	logFC	logCPM	PValue	FDR	svz_EXTRA_14	svz_EXTRA_15	svz_18	svz_19	svz_16	svz_EXTRA_16	svz_17	svz_EXTRA_17
chr10,102576794,102578087	1.05348622364578	4.17077110401499	5.1820835843587e-07	1.67149804203325e-05	21.8099132411668	25.9418402707039	19.4659381398115	7.87781233866361	13.6870700555041	chr10,102576794,102578087	Sdk2	-0.111814865285594	5.99897748286174	0.504050790997906	0.712640089726316	79.2425026213497	64.3009902803163	56.6964096908705	45.3068683835312	85.9883398839228	60.7163152244444	70.8112045216975	47.8205965944046
chr10,104097006,104097660	1.09822012189631	2.4998411447526	1.77204001188971e-07	6.78364011989622e-06	6.8225918995611	7.30077077804278	6.56314774052596	2.77677858535516	3.64154442504235	chr10,104097006,104097660	Sumo2	0.135773373372633	5.20695240497883	0.120154457045057	0.293994502942214	40.0753432881581	41.8356003781335	34.8864708870356	37.4578952715572	35.4842700937775	34.7488721467869	36.3697672574784	33.7955971439957
chr10,104262568,104263736	0.801318480337911	5.42812237980133	1.82640629162748e-05	0.000305074928160761	50.442493770797	58.1813032703031	46.1659230120158	23.0119350569807	36.1874201926745	chr10,104262568,104263736	Grb2	0.0811966975917991	6.08014000171091	0.345490868782495	0.576435895329154	75.824965447733	69.3170699175328	68.1099149176269	64.5667818260165	71.4589050415621	61.6633726952932	66.5266321812204	62.9638120519858
chr10,105367050,105368343	0.797023712645677	3.12020476663637	1.0046836076307e-05	0.000188569757418172	10.0661205323534	10.8969351528928	9.61842860579894	5.08902872738402	6.62043455324465	chr10,105367050,105368343	Rnf157	0.110241417015629	6.30219790657207	0.167071671226809	0.363701181112179	78.2767813960348	79.1890546003541	86.8110194086172	82.9922668935927	73.5070215697161	80.6982303787515	74.2402276566526	74.7467036241366
chr10,105451524,105452883	0.691410553010927	5.90881322693002	9.65249887187117e-08	4.08608869130677e-06	70.3511459047453	73.3049060655686	68.109165091021	40.193072613256	47.2039019895351	chr10,105451524,105452883	Prpsap1	-0.0888319142980207	5.09662601108917	0.274640660134536	0.504767139038006	33.9234046202001	31.857080464018	33.9206151761624	32.5434592957007	36.309175981999	34.0121663625838	35.0310485262508	35.2906720477248
chr10,107280793,107282092	0.683402960231972	5.68392506137323	1.07090075606858e-05	0.000197713665710163	59.5020515324069	65.1439844180683	56.1193405676472	31.7773278293646	43.2401498190878	chr10,107280793,107282092	Cyth1	-0.196888682992056	5.86652600614139	0.0128946497335569	0.0562544607438501	54.9893127328248	51.7077108580692	57.7665916429489	52.6176007438916	64.4102385080484	63.0852866805486	61.9738494636739	59.3623557139366
chr10,10881227,10882484	0.68494439172587	5.22177553366657	1.25536583028167e-07	5.08093801914052e-06	43.7318016742719	44.4388482735891	42.8789710568116	25.8694383853873	28.4539149081372	chr10,10881227,10882484	Mgrn1	0.0898493554352867	7.45985964441439	0.2673872618043	0.496541007383907	179.994564707122	184.418591792386	184.394315531545	176.897963361373	169.711051348225	183.106431398015	171.405435764855	157.669001105482
chr10,109073139,109074072	0.735441389588249	3.95677947984829	1.07724276880165e-05	0.000198701627202805	18.0071866239145	19.6132508663251	16.9733764312774	9.36655500015976	12.4676873322876	chr10,109073139,109074072	Chmp6	0.0754071520868805	3.9963234317812	0.487134444441261	0.698134952910617	17.6768858100948	16.061937680497	16.2905992747949	15.0520032067579	16.8551166937158	14.6658116764615	15.5871247828052	14.6579559926666
chr10,109106475,109107879	0.669775806831229	6.36832561773812	6.53170860996583e-05	0.000844835751342871	95.0690739180842	106.536061616483	88.5903397358428	49.6821336995095	71.9159829376081	chr10,109106475,109107879	Baiap2	0.968986867948995	6.67357427519579	2.18489974349423e-06	3.90117041875234e-05	135.535485139301	107.257619385209	140.077227079069	157.0955871774	64.7483706204244	44.0954680405146	56.458500692408	110.556018738774
chr10,109223923,109225938	0.765571871636901	5.05664413928599	4.99805979764865e-08	2.37946207066811e-06	39.369789572331	41.3939245956157	37.902583464995	21.0273103387138	25.4798355698752	chr10,109223923,109225938	Aatk	-0.33552995594405	8.48857908430362	0.00468337101521277	0.0254193624974005	333.762135062421	255.603601601487	390.542664837013	290.152870378654	456.939337090015	378.664939806617	380.574280293693	386.443518978918
