logFC	logCPM	PValue	FDR	Bo_14_svz	Bo_22_svz	Bo_23_svz	Bo_24_svz	Bo_25_svz_2000g	V1	V2	logFC	logCPM	PValue	FDR	svz_EXTRA_14	svz_EXTRA_15	svz_18	svz_19	svz_16	svz_EXTRA_16	svz_17	svz_EXTRA_17
chr10,75365212,75365463	-1.31724551388141	3.05784904074162	4.95338811708468e-14	1.6837111922221e-11	5.03305906690355	5.33915131105478	4.86574963911062	11.441075957109	13.8994300818212	chr10,75365212,75365463	Vezf1	-0.273402780160654	5.98801296364927	0.000830047163283251	0.00606858623228733	58.7024638739694	60.619010320286	51.8737456080705	58.3122772041757	68.8216745104906	65.2382220944822	71.8292563293688	71.5095375455169
chr11,32550042,32551318	-0.813140799928983	4.32394788279122	1.25969731033525e-06	3.49740398953321e-05	15.43477678761	13.7122312287394	16.5137711570026	31.0297918057263	22.4838097575712	chr11,32550042,32551318	Rcan1	0.350360312757754	5.22964357242883	7.57389838820899e-05	0.000806275910235703	40.0274323971127	39.327774635861	44.2090935089156	44.1897160090683	31.520841361628	32.3830167979626	31.3355319393298	36.3275502700888
chr1,13594183,13595590	-0.823532300515206	3.47647822835123	5.54711166738168e-08	2.59012660562102e-06	8.38845557780175	8.16656812487382	8.48460682344119	15.2361161862462	14.3335996452004	chr1,13594183,13595590	Nhsl1	-0.152606939018181	5.50913805040483	0.0822418711934909	0.225847718196391	45.0083075892371	45.1440803219968	41.6914108912704	40.3012521572401	49.7531255168005	49.5753349609025	49.6001087150475	42.4320543369228
chr11,38034607,38035847	-1.57680806213957	3.87181950219371	2.03595043805606e-25	1.4847446199129e-21	8.05291133696912	7.83953674281154	8.25806999094955	25.0467555853955	23.0439065478897	chr11,38034607,38035847	Mx2	0.427812959637678	3.36017643497314	0.0964587402774441	0.252127644787694	15.9934004170623	11.0993171152719	12.5923950042988	7.01718836614434	12.5927550335058	8.621424163181	8.73093170112003	4.7609962205067
chr1,156553064,156553710	-0.963994108081171	2.44439484408715	3.57698831658242e-06	8.20538821183658e-05	3.80276472280974	3.48167637857855	4.07160281540103	8.53097886864021	6.27990350669534	chr1,156553064,156553710	Dlg2	0.472218718208157	7.50995499062448	7.68368238046158e-08	2.05659247257612e-06	204.886723342926	195.304538842158	225.923995112014	220.778737054589	148.884561541059	147.459646326834	144.141898867921	169.980699776772
chr1,185355805,185357318.1	-0.728265070827697	3.96944219510697	2.33241992636448e-06	5.84701231478225e-05	12.079346993138	12.8562924457108	11.7674885062089	18.3707629529914	22.1711014502557	chr1,185355805,185357318	Plekha7	-0.431725580936105	5.48534048415997	1.4628896611854e-05	0.000202129061150218	40.9589487442956	42.1023826118282	33.9756038491529	35.1782396959619	53.9949420456735	51.4141648208787	55.1703955697818	44.7457767511063
chr11,86356845,86357642	-1.14286170748583	1.51897665716252	2.38841267059743e-05	0.000377454838500109	1.78953421852584	1.63165978762775	1.92266078979366	4.49581487884425	3.41524027789205	chr11,86356845,86357642	Cldn5	0.570276180129216	4.30235475179715	0.000380306486703159	0.003124036125322	19.3604598821788	22.2519590425852	28.5063373466706	23.6975449902755	13.6185966980645	21.8805332410524	14.5701234122707	13.1067751091103
chr11,87434426,87434942.1	-0.923547297391299	3.40572878004157	1.46350058647744e-08	8.48707409353774e-07	7.71738477661859	7.18376199779469	8.03109675113919	15.9204607991042	13.1169474046428	chr11,87434426,87434942	P2rx6	-0.228750043485284	4.21743550993545	0.0732034647982375	0.207224473300285	18.342778686391	13.9809968086497	19.9329254020397	15.8802089575058	22.802132270974	17.5024998215688	18.962185269639	20.5796633335099
chr11,88424089,88424813	-0.799958804603657	2.69417929284311	1.13700959792015e-05	0.000207814474676593	4.8093731402572	4.57146952615298	5.08995730624977	9.11347520513167	7.7156331209511	chr11,88424089,88424813	Spag6l	0.91143848758175	3.78418630998034	1.37593860698523e-11	1.03949942501917e-09	18.1810603969917	15.4217258259086	21.7008466724146	16.1372136724475	10.2992847770305	10.0423344427283	8.78507693216575	8.84423554227548
chr11,90233848,90234817	-0.600265099419355	4.76542765511641	5.52976881014037e-06	0.000116275891004102	22.481061610121	21.669266395439	22.9647922020006	35.4360096247904	32.4164556575201	chr11,90233848,90234817	Efcab1	-0.0714091998725713	3.24333763374017	0.694152721293946	0.839434943168893	10.577639466406	10.9390031229882	6.32559070969086	8.68988823375697	10.135584075429	7.40722130973803	10.5514394197022	10.2929714447091
