DG_logFC	CA_logFC
chr1,221716421,221717140	0.631916320720537	-0.676145219405603
chr2,198015138,198015408	0.790451995648493	-0.62468133683755
chr3,7889502,7890113	0.834710249560429	-0.618807010653996
chr3,51965968,51966861	0.678318530473179	-0.594357889880631
chr3,135508270,135508942	0.791974973966975	-0.783084162813737
chr4,116740146,116740959	0.77456401775659	-0.937025471058462
chr4,157989589,157990378	0.715353260879343	-0.601419121320715
chr5,75485643,75486728	0.778281529388325	-0.647468253280919
chr5,129499155,129499606	0.80255550868154	-0.625405098351607
chr6,145473575,145474082	0.662041439461073	-0.628594456536855
chr9,13291983,13293055	0.795800431211218	-0.644045058568154
chr10,73363520,73364303	0.663255733473855	-0.674134492418936
chr11,82961105,82961751	0.950117483791644	-0.819045155764331
chr13,48763465,48764154	0.985414714590766	-0.754044404400037
chr16,18043318,18043878	0.616296072795837	-0.796511428947192
chr18,4290776,4291167	0.727495724765832	-0.688326469590182
chr1,3420683,3421356	-0.911561328979975	0.714405048492116
chr1,4755390,4756681	-1.23560709382462	0.964122173222402
chr1,7779601,7780718	-1.35040584508967	0.632948633377397
chr1,19462702,19463437	-1.08325764632028	0.76335255172221
chr1,25279807,25280681	-0.69228742486556	0.613396498160841
chr1,28675938,28676651	-1.34470259572444	1.34404364801827
chr1,35953563,35954549	-0.772723445705215	0.586841801964358
chr1,36072971,36073688	-1.24079491478476	0.726728030139296
chr1,36454540,36455455	-1.23021942714186	0.590775729118568
chr1,36635797,36636977	-1.46348467338829	0.733333619372766
chr1,41948896,41949344	-1.205477584224	1.29577366258062
chr1,42587105,42588551	-0.794479081930209	0.625585067883718
chr1,44389689,44390477	-1.2501059417648	1.23111134679031
chr1,47348836,47349292	-1.25398773911653	0.859858434359272
chr1,49143767,49144897	-1.02335893011206	0.753939321957295
chr1,52234148,52234985	-1.16892940698846	0.844308625902546
chr1,52567817,52568575	-1.10172280060884	0.642450096262345
chr1,52574477,52574918	-1.57432268150842	0.682216122598357
chr1,53345882,53346518	-1.35646088650901	0.94646228665293
chr1,54073853,54074554	-0.909778930390663	0.710939136553824
chr1,56458034,56459216	-0.898230719151897	0.796919296694225
chr1,81923601,81924113	-0.907340252259983	0.594287686304337
chr1,84075698,84076823	-0.955387599851021	0.664924156866614
chr1,84446310,84446977	-0.793248362835508	0.62438618276325
chr1,84451019,84452025	-0.635001453300425	0.700894963825866
chr1,102881311,102882035	-1.56709055264791	0.671579575002244
chr1,103237652,103238313	-1.51483684285111	0.888162671749914
chr1,104607267,104607846	-1.1122134318637	0.753814321327849
chr1,108162820,108163572	-0.9789816740805	0.654811518905785
chr1,124439911,124440451	-1.33734291210547	0.84389613861735
