logFC	logCPM	PValue	FDR	Bo_14_svz	Bo_22_svz	Bo_23_svz	Bo_24_svz	Bo_25_svz_2000g	V1	V2	V3	V4
chr10,103703229,103703854	-0.52051683688943	2.86206065228436	0.00473562756706588	0.024110644059562	5.92782227416039	6.42982099573101	5.65818636487509	7.51599680886522	9.70924805890545	chr10	103703229	103703854	Rab37
chr10,107424260,107425196	-0.467206153768661	3.34206308141112	0.00236670721131012	0.0141545430391476	8.61214205009818	8.49392403606996	8.71100043285338	12.0063459939605	11.7986226173185	chr10	107424260	107425196	Lgals3bp
chr10,14323788,14324769	0.2033399747956	6.04097996678979	0.110070294276158	0.247219938970338	68.8971416281754	71.8889359626454	66.9776516555492	55.4336387974497	64.847979556184	chr10	14323788	14324769	Jpt2
chr10,14613823,14614394	1.06664555971061	2.6143132268561	1.61893964784991e-06	4.33321251440945e-05	7.26995915052534	8.50497326934515	6.56516978978773	2.66663038244639	4.4161852248534	chr10	14613823	14614394	Baiap3
chr10,29450343,29450904	1.0439451544272	2.27770636822431	0.000151927154990036	0.0016572538001286	5.5922586023045	7.09220795649137	4.7559231232904	1.7453439727991	3.86630937978648	chr10	29450343	29450904	Adra1b
chr10,31257961,31258482	0.9359918288515	2.66707267975316	1.49285671295083e-06	4.04317795577628e-05	7.60553291760704	7.51421881624858	7.58000063545595	3.92595329162085	3.96981755023553	chr10	31257961	31258482	Nipal4
chr10,34185574,34186490	-0.19718179156029	4.4129181840495	0.156843239022358	0.31649161823048	19.9085906108731	20.1499927766595	19.6859269768942	22.1715689748949	23.4900446646584	chr10	34185574	34186490	Trim7
chr10,35392227,35393527	0.876265354304563	4.09743244061756	8.40609455238782e-05	0.00103313696782289	19.9085149842373	24.3101341925296	17.656177413157	7.88117111355343	14.5710918090945	chr10	35392227	35393527	Rasgef1c
chr10,36097675,36098243	1.24492001713526	1.90017647844424	2.31876013349209e-05	0.000368509615058638	4.36195525853471	5.56527896988685	3.73695675400606	1.16450541196921	2.65147348891644	chr10	36097675	36098243	Adamts2
chr10,36098521,36099810	-0.033808288394964	2.48874059275803	0.891048759640705	0.959321439398976	5.25674504764244	5.88670176881406	4.86679364761409	4.39971781959092	6.51190434901229	chr10	36098521	36099810	Adamts2
chr10,40247049,40247756	0.546758994380089	3.72184460531595	0.000422151114231796	0.00370590284882474	14.8755243624891	14.8116581682845	14.8206456667735	10.0456785043704	10.2557210001345	chr10	40247049	40247756	Gpx3
chr10,4718823,4719343	0.647348374034576	2.61602476439028	0.00104347484794977	0.00750577988644778	7.04632072693937	6.421056578391	7.23931333981525	4.8436671314674	3.9672214500745	chr10	4718823	4719343	Litaf
chr10,4719488,4720704	0.436831183719153	3.96979469917333	0.00586030088428561	0.0284001375361872	17.1124253735524	18.1945375750494	16.4067377153286	11.3270725799698	14.1206826593186	chr10	4719488	4720704	Litaf
chr10,49231511,49232041	-0.509107115839209	2.14667610473727	0.0441939465805934	0.128888031729391	3.46719823742547	4.14463227269108	3.16973685798204	3.82518103962129	6.40310588981239	chr10	49231511	49232041	Trim16
chr10,49540168,49540541	-0.0585857543215012	2.51765265651618	0.782100197588593	0.892732364618937	5.36859763074441	5.66577313457119	5.20511455754919	5.08659493621556	6.17815213362991	chr10	49540168	49540541	Pmp22
chr10,49540694,49541467	0.0823980812717977	3.74724358876504	0.614811800767646	0.774412849151652	13.6452314535608	12.9562513621564	13.9142627683459	13.5013791546361	12.0165666889664	chr10	49540694	49541467	Pmp22
chr10,55710114,55712097	-0.143462839921526	6.4989682460618	0.234255852467848	0.416189099688127	87.3517841911573	82.7647473379437	89.7121840301371	101.698973128813	89.6451619551111	chr10	55710114	55712097	Aloxe3
chr10,57321529,57322721	0.50962557213744	5.0052432868059	0.000126768050132244	0.00143349396864372	36.1262627502462	37.1429761034445	35.2993473088832	23.9083802733763	26.9108652592901	chr10	57321529	57322721	Kif1c
chr10,59725135,59726009	0.422046739941883	1.85742003879794	0.0982532218973114	0.228351350312331	3.80276491962979	3.92213402535326	3.62109885372602	2.54389120583981	3.0892151205208	chr10	59725135	59726009	P2rx5
chr10,59884818,59885336	-1.48025599969602	2.85480272502938	0.000701856761474327	0.00552167821109787	3.57897760623683	5.9019995300811	2.72090579735543	4.44332227596458	18.3375747299949	chr10	59884818	59885336	Aspa
chr10,59887827,59888739	0.117501833029698	3.85348893517913	0.447454876842124	0.636538587335387	14.7636827242531	14.3739175476113	14.9330105626692	13.8517939039074	13.2313651742065	chr10	59887827	59888739	Aspa
chr10,62699362,62700242	0.0825325518879814	3.29210403218709	0.647564029120493	0.798655333425838	9.73059266460793	10.2413935418357	9.39157181019668	8.32210353562506	10.149321117644	chr10	62699362	62700242	Coro6
chr10,64359955,64361155	0.610271452013502	4.82946750390612	0.0146441409807349	0.056948727231606	31.2049230648573	39.5675456777029	27.2752375478246	14.0183878851788	28.8059918074344	chr10	64359955	64361155	Fam57a
chr10,66872538,66873525	0.491413637442437	3.82923254473125	0.00457895010065269	0.0234843551003298	16.1058619842638	14.2566434902325	17.0795917877935	13.0289405766993	9.47580714600998	chr10	66872538	66873525	Evi2a
chr10,66873744,66874243	0.629992684193904	2.5119820785254	0.0019051349571313	0.0119949785045221	6.37521936162507	6.31604775575825	6.44844083792819	4.1560861489027	4.07974073073533	chr10	66873744	66874243	Evi2a
chr10,68142385,68143438	0.644108516966356	5.13789163838677	0.00629248973039088	0.0300266036334678	39.25784822081	48.6062281538441	34.6288034441046	17.8286803126558	34.4298486741188	chr10	68142385	68143438	Myo1d
chr10,68172706,68173731	0.202308040271341	5.23850534100946	0.133523518813156	0.282973770360154	39.369786873523	41.2844006944033	38.1285414998377	31.4187744097214	37.3896566759837	chr10	68172706	68173731	Tmem98
chr10,74871145,74872016	0.40772879698392	4.80127723672797	0.00214766265365979	0.0131443770820123	30.7576647461232	30.822676008065	30.4335023386342	22.5174742880089	23.7103809540267	chr10	74871145	74872016	Sept4
chr10,74872429,74872789	-0.0286116629176709	2.64195169421636	0.907806604229523	0.969300852091303	5.92782847899766	6.100130418094	5.88340482174326	5.77650666091471	6.39735750894999	chr10	74872429	74872789	Sept4
chr10,74873804,74874317	0.243179882966433	3.7496285247566	0.128141262212315	0.27501107371742	14.3163171432375	13.2811139335315	14.7056227017159	12.9214052703803	10.9126646883626	chr10	74873804	74874317	Sept4
chr10,74874744,74875529	0.0586692205781329	4.45336559888714	0.682731008014892	0.823801912276205	22.1455235708382	21.5616415483583	22.3996685660432	21.5867951563547	20.729786944565	chr10	74874744	74875529	Sept4
chr10,74882043,74882193	-0.122310945311689	1.73775566321413	0.663432290404182	0.810006508272648	3.01984178189808	2.71936151193241	3.27967599789729	3.80305563918791	2.75360891921877	chr10	74882043	74882193	Sept4
chr10,74883053,74883612	0.485311120315616	3.02672328005039	0.022902927262154	0.0794240320491652	9.17140615449226	7.61220379953121	10.0648645093237	7.94788802168326	4.84409345668259	chr10	74883053	74883612	Sept4
chr10,82197839,82198465	0.227739865069549	3.95614970669636	0.138506454061118	0.290009637667801	16.2176688569396	16.5565901197012	15.9527541264109	13.2823673394472	14.4479567295083	chr10	82197839	82198465	Cacna1g
chr10,83407543,83408332	0.665265119810641	3.13071271612992	0.00160355112529319	0.0104905617125994	9.73056080497173	11.4480017328653	8.82852651874661	4.75088049024442	7.83766713122353	chr10	83407543	83408332	Ngfr
chr10,88324642,88325792	0.824490515489276	4.5002739019235	0.00248948862031124	0.0147079310379104	25.7244622463491	33.5795234360506	21.9585889784051	9.3972771887439	21.1959612956097	chr10	88324642	88325792	P3h4
chr10,88490414,88492011	0.0349947399520365	6.25078207052468	0.786918010161758	0.895813977910279	77.3974889387444	73.071261482499	79.5301022451853	79.7630142948649	69.9062996782335	chr10	88490414	88492011	Cnp
chr10,90709030,90709845	-0.290325124752047	3.2499879786408	0.0663023769594208	0.172932448215235	8.61215353812362	8.27480473237036	8.71072865956478	10.8487493936312	10.0328801847842	chr10	90709030	90709845	AABR07030498.1
chr10,90999261,90999679	0.104849259024886	1.90920482647688	0.758113410592481	0.876823338663468	3.46719132856578	4.36457524548781	3.05724032403624	2.20814537156739	4.52836447613704	chr10	90999261	90999679	Gfap
chr10,98016852,98017941	0.194546016143151	2.97544483899321	0.446138594846484	0.635285203514513	7.71732140608789	9.59864682950561	6.79265762274646	4.7575722555919	9.27486462459774	chr10	98016852	98017941	Fam20a
chr10,98388986,98390066	0.0561687042382804	2.80359341208922	0.79382803643799	0.900059239516319	6.9344623591274	6.64130152911165	7.01378824281875	6.80958451529314	6.39461844995699	chr10	98388986	98390066	Abca8a
chr10,98390239,98390988	-0.275214582791436	2.19055860566554	0.194011934379928	0.366121135854136	4.02645713571968	4.02977079493725	3.95998078043667	4.73523681026199	4.96278648529624	chr10	98390239	98390988	Abca8a
chr1,100473162,100474261	0.114666628885174	6.77721396713172	0.33397689137274	0.526706129861528	113.859296863337	108.468718180336	116.411994653377	109.782892307171	98.7988083809374	chr1	100473162	100474261	Josd2
chr1,106998087,106999089	-0.681329499074522	2.36341813303134	0.00068037384030682	0.00539157454268229	3.91459708776532	4.25044124971846	3.73454022917707	5.55115812195824	7.17194703638692	chr1	106998087	106999089	Slc17a6
chr11,17129761,17130943	0.173425777852999	4.85367520588963	0.476140720905732	0.662226153922643	28.7443203480317	36.0800231934801	25.2381934009584	17.8308322924806	35.4235280429228	chr11	17129761	17130943	RGD1563888
chr11,25350255,25350662	-0.065920373624848	2.93088885754442	0.754752997694007	0.874390658788244	7.15812456462908	7.84696301864857	6.78993817916343	6.47759088282795	8.71714450220078	chr11	25350255	25350662	Adamts1
chr11,25350726,25351267	-0.415808172945805	3.61388968801717	0.00530297133430768	0.0262575802399128	10.6253723699154	10.6737125378504	10.5218147773205	13.97158644727	14.3360636320193	chr11	25350726	25351267	Adamts1
chr1,126748445,126750335	0.336455866586706	3.77823346287186	0.0632586266113863	0.167261405060773	14.428099229616	16.238842785023	13.4666383335816	9.48700514377137	13.7934897692537	chr1	126748445	126750335	Pcsk6
chr1,131431488,131432391	-0.746414001301877	1.69703409947486	0.023465831490627	0.080779536383582	2.23688898998925	2.94738253561372	1.92545036530765	2.44295204063614	5.52298105095513	chr1	131431488	131432391	AABR07004228.1
chr1,131455439,131456471	0.546453015688982	4.43941328434645	0.0568677940311082	0.154876169389967	23.1519942693954	30.8579922990104	19.5830088523902	9.97900351090454	23.6245224278958	chr1	131455439	131456471	Nr2f2
chr11,32859813,32861719	-0.336888243282117	3.86418215342407	0.0310431949360439	0.0994753969074688	12.8622752959917	13.618718211668	12.4464468218206	14.7908778044979	17.9803266000745	chr11	32859813	32861719	Runx1
chr11,33002793,33003254	-0.1889047500627	1.67866660726557	0.494226080555573	0.677724496322309	2.90801052424758	2.39103081213965	3.16618008191863	3.91612566073887	2.53211744146563	chr11	33002793	33003254	Runx1
chr1,143034659,143036831	0.563785951394226	4.75784362330429	0.000122995748372661	0.00139971569565988	30.5339426880134	32.5730677572317	29.3046281014384	18.4890386148301	23.1649346315786	chr1	143034659	143036831	Pde8a
