logFC	logCPM	PValue	FDR	Bo_14_2a	Bo_15_2a	Bo_22_2a	Bo_23_2a	Bo_24_2a	Bo_25_2a	Bo_20_2a	Bo_21_2a	V1	V2	V3	V4
chr10,103339557,103340391	-0.190163549322943	3.8955264041437	0.104866294653215	0.245214571873165	12.4028983041612	15.3284690566739	15.6943654142014	11.4909698947029	15.1194051754999	15.3700130539957	13.7076294120854	18.4657046586443	chr10	103339557	103340391	Btbd17
chr10,103340947,103341427	0.144487359030913	2.56412490615824	0.303909599017154	0.50103916284041	6.38668968049234	5.22714837416775	6.2392888897631	6.20843082678182	5.50573726422099	5.03106212746364	6.05744498471789	5.16923044004174	chr10	103340947	103341427	Btbd17
chr10,107376583,107377054	-0.364680062940112	2.18909722130822	0.0156270477739378	0.0609396770069171	3.98010091623971	3.85383093882595	3.94534831799223	3.52134873163003	4.85297574378412	5.21555772158843	4.84766941765432	4.80015035568325	chr10	107376583	107377054	Cep295nl
chr10,31041169,31042115	0.142061296550755	5.12766743345143	0.0385243260162253	0.119358864557744	34.5247471269537	35.2318911902876	35.0424351222336	41.1419294601322	33.7805814935801	30.5561874360506	34.023271524208	33.8798978048624	chr10	31041169	31042115	Lsm11
chr10,35392227,35393527	0.0335289954818167	3.86372039240893	0.777352188221664	0.887707905508708	14.9022029198413	14.0371658494083	17.3484313443838	11.861731395203	13.9056053108316	13.7867720083849	13.8903969566449	15.2328974991769	chr10	35392227	35393527	Rasgef1c
chr10,53037510,53039088	-0.188431731825165	3.43723167455583	0.153711874253154	0.31924667472755	8.88563529159115	10.4619725502597	11.8415289354716	8.61816816398719	11.0128224262964	10.3416447599132	10.256822056155	13.7575390700424	chr10	53037510	53039088	Shisa6
chr10,56289926,56290568	-0.389946912774443	3.47552043758349	0.000387090747059132	0.00332462979554546	8.33026531864165	10.0032939407126	8.89692583428812	10.6559917442562	12.4116674864006	11.7381140442786	11.8402456428391	13.6638452824758	chr10	56289926	56290568	Tnfsf13
chr10,56299221,56300367	-0.385821192790947	3.8479264449549	0.0004597952258863	0.00382108542420023	13.2361872364148	10.5462910559953	14.8709358001535	10.6568524257168	15.6790098171527	14.8131097351678	17.242918775018	16.7094462885912	chr10	56299221	56300367	Tnfsf12
chr10,56546081,56546909	-0.16237218426722	4.10045041048482	0.0430001050566886	0.129482832006558	16.1054532259545	15.5973253631223	15.5948514814882	16.7719913484638	18.0106597227067	17.7915071145712	18.3631891003732	17.5393056243991	chr10	56546081	56546909	Ybx2
chr10,57126914,57127970	-0.194524048290708	4.98344554840494	0.00102719615950121	0.00725904857679971	29.1563940931495	28.1665079314486	29.7254234559695	30.3009419417372	33.5953190537844	32.2311163439714	34.3963948167261	34.0642796332198	chr10	57126914	57127970	Gltpd2
chr10,89699661,89700698	-0.112201242938001	5.01924334399657	0.0954227142215393	0.229943134468485	31.3778809003557	28.9904976088166	34.3195773116958	29.2821991390944	33.2226274742387	31.3939136844435	34.3962729241338	34.9881602654715	chr10	89699661	89700698	Etv4
chr10,90999261,90999679	-0.776911351183918	2.02233359223261	0.000266496602225611	0.00245436388769428	2.22135102867444	2.93647609288629	3.58104162098507	2.68732626127074	4.57387717674583	3.82181619558576	4.38284945518655	6.83385170149757	chr10	90999261	90999679	Gfap
chr1,101012158,101012886	-0.0500819823933385	6.07256893306463	0.208886486077233	0.392025219145896	65.8101759031361	64.8703738676995	67.4328878391183	65.6988501058756	68.3104759692044	66.8814200246511	68.6087261256211	69.3284479567247	chr1	101012158	101012886	Rras
chr1,101322271,101323464	0.122846789522717	3.67142006631352	0.214045703253644	0.398323842034803	12.77324742166	12.5689529072544	14.3158283916212	12.6950943376729	12.038323891222	10.9936966544111	12.1182501477494	12.9249604111613	chr1	101322271	101323464	Trpm4
chr1,106998087,106999089	-0.363159912228927	2.0016681149241	0.0283175397612843	0.0951485827630555	3.51730408282048	3.67156832422067	3.21037469612747	2.96539108823066	4.1998259644463	5.02803603116118	4.00932666024798	3.96905853820753	chr1	106998087	106999089	Slc17a6
chr11,32859813,32861719	0.195134005120499	3.91862427314915	0.113500697593659	0.258899159765399	13.6986524675991	19.2792721337369	16.7914328608663	13.9927984517466	13.6256489015784	14.0650424728141	11.5646448574286	16.4345921219969	chr11	32859813	32861719	Runx1
chr11,33002793,33003254	0.357906180918976	1.92434139264619	0.0745407035816585	0.192860386104583	3.33206164976272	5.14282745000851	4.22075874484639	3.52142791542594	3.07992342277077	3.25994374935634	2.51887295313959	3.78572709314673	chr11	33002793	33003254	Runx1
chr11,57207126,57208239	-0.0695008072860458	5.73565513972045	0.23711145134635	0.425832211565353	54.1477611467963	52.4859818401846	54.591649820013	46.0549282914426	53.6602984150331	57.2825177290301	53.0432583595537	53.5417452224998	chr11	57207126	57208239	Plcxd2
chr1,199438111,199439529	0.177283831000523	4.12124733651965	0.0726912081506475	0.189541394437403	16.8457827554257	21.2044334409811	18.6246876147789	16.4020211428994	15.9583556446256	16.95129990614	14.1737332625793	17.5410703580215	chr1	199438111	199439529	Pycard
chr1,20331676,20333530	-0.666342173395399	3.71328520039769	4.41841823340517e-13	6.17989430245603e-11	10.2741944532685	9.44899664625628	10.5522612412245	9.72981522228578	15.4922546414112	15.6493160319627	16.3123447285965	16.0628319793205	chr1	20331676	20333530	Tmem200a
chr1,203970559,203971956	-0.139489317840955	3.79585496111719	0.146348294200357	0.308890794494135	12.5881118786251	14.5943463305991	11.9228297520995	13.0656303804546	14.2783121283957	15.7390801480117	13.3327601615214	14.1237981802461	chr1	203970559	203971956	Gpr26
chr12,12024970,12025921	-0.0196857754036611	4.87644993018683	0.787065024092533	0.89382606881295	28.7861519770772	31.6625058185426	27.1512678987084	28.3553408949857	29.3028097685495	32.131549376161	27.6890583714101	28.4320058705283	chr12	12024970	12025921	Nptx2
chr12,23840427,23841406	-0.251541236460129	2.42193871815287	0.104940671255653	0.245358986518507	4.90570441926935	3.85040332775636	4.9549508741362	5.1890258771203	5.69237666932094	4.84567932744181	6.52270581405846	5.44628820754582	chr12	23840427	23841406	Hspb1
chr12,24802738,24803465	-0.103050357430733	3.58672044845725	0.342560113254315	0.541417803471048	12.588301766738	10.6411916634121	10.6394709525995	11.7682313305393	12.3181532625126	12.9460349597433	13.0486944035122	10.7067910832978	chr12	24802738	24803465	Tmem270
chr1,30682429,30683378	0.181057208642861	1.99305054747481	0.525478180422768	0.706417877665545	2.3137815322422	5.60372047054071	3.57606250946288	4.63298718687955	3.45327767451778	2.88937026404944	2.51995007624338	5.35676954451724	chr1	30682429	30683378	Rspo3
chr13,109551954,109553086	-0.396170949619177	3.34515546988609	0.000314393169217586	0.00280462526447756	8.2377940565135	9.45390179241056	8.8999738627531	7.87668472725128	11.0128252017192	11.9216432115173	10.3498159369352	12.0939716017192	chr13	109551954	109553086	Vash2
chr13,15395485,15396425	0.0128411319834177	2.74429646641797	0.948854820593199	0.988045777319697	5.27576029054447	8.35686459067234	5.68475726230087	6.85703933627996	6.43931551131817	6.89194206992223	5.31673092888332	7.29381806645855	chr13	15395485	15396425	LOC304725
chr13,21677745,21678485	0.12212079877803	3.01377112699031	0.494957711353754	0.680702041791463	7.31212852426488	10.0080367461374	9.82239067357955	5.74593262487787	7.18689453904484	7.91670467446043	5.97026127671938	9.14105492657615	chr13	21677745	21678485	Cntnap5b
chr13,48847744,48849154	0.269624306887391	2.7164446563786	0.110390417667035	0.253937939886351	6.29399296818203	8.17080751914777	8.26171740554809	5.18976188168639	5.59990755248404	5.86814430481299	4.75709163613371	6.92501661708835	chr13	48847744	48849154	Mfsd4a
chr13,71179723,71180253	-0.315264456019676	3.02652513362121	0.0148791321728145	0.0587745670595448	6.84940850384129	6.14419809968304	7.52443033434645	7.87618654244563	8.86539276039542	7.45503824892392	9.59951175007593	9.41671303226796	chr13	71179723	71180253	Rgs16
chr13,98615139,98617685	-0.0398926536118589	5.35355034052234	0.50551995060757	0.689747512127321	40.1710555839178	40.7411724851061	43.2170461674895	36.4176456350653	40.7818729172882	41.3574751329182	39.9928281145359	42.9271811926682	chr13	98615139	98617685	Itpkb
chr14,2031822,2032288	-0.25253768789135	2.33848878962187	0.100387830123329	0.238128311603061	3.79487167129772	4.6804559393775	4.21916941528862	5.09629235068151	5.31925457503318	4.84488677914976	5.03463880971106	6.00131256815528	chr14	2031822	2032288	Fgfrl1
chr14,2032401,2033229	-0.0640343064480012	4.52033047308254	0.443009440442784	0.63551687869578	19.6224844581775	24.3210900078674	22.3854302134199	22.7025903014361	23.1437838718466	22.2640944068157	21.4439637948695	26.2198239191455	chr14	2032401	2033229	Fgfrl1
chr14,60763882,60765095	-0.00820834493890805	2.93970800537617	0.975186622499486	0.999145772899132	6.01622196074836	8.62943147980512	7.52302266784516	7.69104753584162	7.46582230463422	6.89445590081849	6.52801723947455	9.14111713489034	chr14	60763882	60765095	Lgi2
chr1,47604327,47605581	0.0956682007737343	2.59203633570071	0.497223493224389	0.682827954574974	5.73868069946354	5.59543929552411	6.6076217043918	6.20843874434817	5.69245409000985	4.93865521875317	5.77924073541506	6.18571683304521	chr1	47604327	47605581	Fndc1
chr14,85190472,85191783	0.121514328939474	4.75796808286205	0.0721735136922562	0.188631976103045	27.2125818825935	28.1696772104169	25.9580504198528	30.6712122290944	26.2219863510963	25.5228625488754	25.9145406780244	25.2936996115987	chr14	85190472	85191783	Nefh
chr15,37382839,37383611	0.241600098974841	2.08642506862864	0.25418367352773	0.446018425297854	4.25773962419854	5.32560169027959	5.23270016926876	2.7804618645755	3.54683900467834	4.19039431195533	2.98521007181526	4.15470524611804	chr15	37382839	37383611	Gjb2
chr15,48831597,48832397	-0.506116311997966	1.95086290967336	0.0188986576017174	0.0702840025233757	4.16536807059178	2.5672274103592	2.75100577124862	2.68739217785106	4.19990665880984	5.30676306160599	4.84583768728745	2.95234963174326	chr15	48831597	48832397	Pnoc
chr15,80712350,80713724	-0.127970057941176	2.43118485778905	0.380695893913827	0.578387086224049	4.81309727013623	5.5074394080106	4.49341815744071	5.09648692765081	5.4127315318171	5.96013368403257	5.12798771107275	5.26166053266792	chr15	80712350	80713724	Klhl1
chr16,19096961,19098133	0.015894617863203	6.13113248051295	0.691403416926215	0.830634301609772	70.345627901057	68.9992012193084	69.3558559210797	72.4630087389467	70.0828788589814	68.5576361107746	70.5655333282844	68.8660610234423	chr16	19096961	19098133	Calr3
chr16,21089148,21089802	-0.0887843695993216	2.44340073917363	0.611919909175088	0.774226297365278	4.44279345200762	4.95426283464048	6.15099747524451	4.81863187632787	5.31964497508204	4.47349116850478	5.12792058650463	6.74065930586231	chr16	21089148	21089802	Hapln4
chr16,27398672,27400591	0.119684367774585	4.02847970128544	0.197182768645892	0.377279847595642	18.5121848302146	16.1471963511484	15.5925280524814	16.9574848648159	15.5842221783007	16.7639188268219	16.1253608831059	13.3834894528085	chr16	27398672	27400591	Tll1
chr17,13392627,13393523	-0.0245882581357516	4.83498316251055	0.721769342688323	0.851140141688183	30.1747452278969	27.6175276239481	28.4408941319084	26.2243401179582	28.4630356816135	30.270308467129	28.8973357484706	26.7696598063557	chr17	13392627	13393523	Gadd45g
chr17,13393695,13394382	-0.0835576939025809	4.05995182358438	0.3607971965117	0.559086664949775	15.550034775809	16.7017514357425	13.9385284872849	17.8836492249691	17.1704786794028	17.7896097065508	16.7798681464552	16.1541679752259	chr17	13393695	13394382	Gadd45g
chr17,15845378,15846584	0.0408035167537791	5.85831979872605	0.461816050880076	0.651932396758649	61.4600212684575	59.2758463394052	60.8287861201275	53.0046495621958	56.6460016842108	59.9838159070765	56.0257723488205	55.3876211115678	chr17	15845378	15846584	Card19
chr1,72461515,72461761	0.0783641623945393	1.94188152340453	0.747124299958593	0.868022401245658	2.86924007699355	4.6833996852328	3.85351359371126	3.61395538350942	3.45327826085571	3.3539069118942	2.79884342191943	4.61716525507671	chr1	72461515	72461761	Ssc5d
chr1,72462146,72462542	0.450212635666236	2.76400478363241	0.000293184486613636	0.00264853010780382	7.68248755001386	8.16827959154138	7.33825660053339	7.32056629168938	5.69221942793132	5.96050607415121	5.31428899830216	5.35391638883913	chr1	72462146	72462542	Ssc5d
chr17,28824141,28825322	0.645976096765907	2.82379802738603	0.00638330458429175	0.0306690985141468	6.29382947881233	8.99421332213839	12.1242953525997	6.20917130612094	5.04046001005376	4.00874199737977	4.29114655303223	8.12738096070514	chr17	28824141	28825322	AABR07027407.1
chr18,44141306,44142930	-0.145772766986642	3.28124998519711	0.173854284066237	0.346509664095405	9.16345432908354	9.4522861144279	9.17459922975883	8.43263032620759	9.8923982390604	10.6174865748219	9.60266943840399	9.96985321964722	chr18	44141306	44142930	LOC103694210
chr18,56070972,56071526	-0.185514950141259	2.32523177884741	0.276086397109462	0.471009626220915	3.98000700910649	5.50938602843192	3.57424243818543	5.00368857896434	5.13269566643451	5.86641135306048	4.4764526335686	5.07718016320255	chr18	56070972	56071526	Cd74
